Day/Month	Feb-26	Mar-26	Apr-26
1	2,68,059.86 	2,09,802.47 	3,75,860.27 
2	1,99,113.58 	1,85,849.47 	3,29,649.67 
3	1,75,564.58 	1,11,834.06 	2,78,160.67 
4	1,20,601.58 	1,10,308.06 	2,71,410.67 
5	1,20,627.58 	1,07,183.06 	2,34,746.67 
6	60,263.58 	1,03,213.06 	1,86,919.67 
7	57,072.58 	96,527.06 	1,76,034.67 
8	96,944.58 	95,613.06 	1,75,062.67 
9	64,293.58 	78,484.05 	1,83,512.67 
10	24,397.58 	49,984.05 	1,91,612.67 
11	6,665.58 	47,995.05 	1,88,898.67 
12	1,41,306.82 	22,189.57 	1,61,650.67 
13	1,34,675.82 	44,828.57 	1,43,033.67 
14	80,768.82 	20,358.57 	1,37,376.01 
15	62,279.82 	580.57 	95,151.01 
16	35,271.82 	1,15,448.57 	47,741.30 
17	31,006.82 	1,10,708.57 	43,944.30 
18	28,556.82 	1,09,888.57 	40,581.30 
19	27,465.82 	1,04,012.57 	33,562.30 
20	18,989.82 	1,23,679.57 	32,937.30 
21	18,384.82 	1,22,171.57 	27,758.30 
22	16,920.82 	1,15,970.57 	26,368.30 
23	13,963.82 	1,14,232.57 	19,191.30 
24	11,363.82 	1,05,821.57 	34,791.30 
25	11,194.93 	1,03,756.57 	30,652.30 
26	7,984.93 	1,03,598.57 	22,618.98 
27	2,72,545.93 	1,03,499.57 	17,687.98 
28	2,43,910.47 	1,02,622.57 	2,197.98 
29		87,346.27 	840.66 
30		3,57,533.27 	3,04,282.00 
31		4,02,308.27 	
