	
Feb-26	
Description	Amount
Salary	4,20,449.24 
Transfer from ANUP KUMAR	50,000.00 
Transfer from SHUBHRA CHATTER	1,000.00 
Transfer from SUDEEP TYAGI	650.00 
Transfer from TAKAMITSU SA	600.00 
Mar-26	
Description	Amount
Transfer from ABHIJEET C	4,35,000.00 
Salary	2,80,794.00 
Transfer from ANUP KUMAR	1,00,000.00 
Earning Related to Salary	72,926.00 
Transfer from SUDEEP TYAGI	3,380.00 
Apr-26	
Description	Amount
Salary	3,04,300.00 
Transfer from ANUP KUMAR	1,21,500.00 
Transfer from ABHIJEET C	16,000.00 
Loan Disbursed	12,494.00 
Transfer from SHOBHINI MUKERJ	8,000.00 
