	
Feb-26	
Description	Amount
Home Loan	67,645.00 
House Rent	49,990.00 
Transfer to 8750748975@PTYE	49,500.00 
Transfer to FRANCIS TIRKEY	48,000.00 
Transfer to AMERICAN E	45,000.00 
Mar-26	
Description	Amount
Credit Card Payment	2,97,580.00 
Transfer to AMERICAN E	1,44,000.00 
Transfer to 8750748975@PTYE	55,310.00 
Home Loan	54,770.00 
House Rent	49,990.00 
Apr-26	
Description	Amount
Transfer to 8750748975@PTYE	62,600.00 
Transfer to RITIKA ACHINT	60,000.00 
Home Loan	54,770.00 
House Rent	49,990.00 
Credit Card Payment	47,571.71 
