Summary	May/26		Bouncing	May/26
Total Amount of Debit Transactions	18,260.00 		Total No. of Inward Bounces	0
Total No. of Debit Transactions	6		Total No. of Outward Bounces	0
Total Amount of Credit Transactions	0.00 		Total No. of Minimum Balance Charges	0
Total No. of Credit Transactions	0		Total Amount of EMI Bounces	0.00 
			Total No. of EMI Bounces	0
Summary - Debit	May/26		Total Amount of Inward Cheque Bounces	0.00 
Total Amount of EMI	9,061.00 		Total No. of Inward Cheque Bounces	0
Total No. of EMI	1		Total No. of Outward Cheque Bounces	0
Total Amount of Investment	0.00 			
Total No. of Investment	0		Balances	May/26
Total Amount of Bounced/Other Charges	0.00 		1st	1,12,269.56 
Total No. of Bounced/Other Charges	0		5th	94,009.56 
Total Amount of Other Transactions	9,199.00 		10th	0.00 
Total No. of Other Transactions	5		15th	0.00 
			20th	0.00 
Summary - Credit	May/26		25th	0.00 
Total Amount of Salary	0.00 		Average	34,379.85 
Total No. of Salary	0			
Total Amount of Recurring Credits	0.00 			
Total No. of Recurring Credits	0			
Total Amount of Other Transactions	0.00 			
Total No. of Other Transactions	0			
Total Amount of Salary – Cheque	0.00 			
Total No. of Salary – Cheque	0			
Total Amount of Salary – NEFT	0.00 			
Total No. of Salary – NEFT	0			
Total Amount of Loan Credit	0.00 			
Total No. of Loan Credit	0			
Total Amount of Large Credits	0.00 			
Total No. of Large Credits	0			
